#typeclass	method	owner	kind	derived	arity
cats/Align#	cats/Align#align().	cats/Align#align().	Unary	false	2
cats/Align#	cats/Align#alignCombine().	cats/Align#alignCombine().	Unary	true	3
cats/Align#	cats/Align#alignMergeWith().	cats/Align#alignMergeWith().	Unary	true	3
cats/Align#	cats/Align#alignWith().	cats/Align#alignWith().	Unary	true	3
cats/Align#	cats/Align#functor().	cats/Align#functor().	Unary	false	0
cats/Align#	cats/Align#padZip().	cats/Align#padZip().	Unary	true	2
cats/Align#	cats/Align#padZipWith().	cats/Align#padZipWith().	Unary	true	3
cats/Align#	cats/Align#zipAll().	cats/Align#zipAll().	Unary	true	4
cats/Alternative#	cats/Alternative#compose().	cats/Applicative#compose().	Unary	true	1
cats/Alternative#	cats/Alternative#fromFoldable().	cats/Alternative#fromFoldable().	Unary	true	2
cats/Alternative#	cats/Alternative#fromIterableOnce().	cats/Alternative#fromIterableOnce().	Unary	true	1
cats/Alternative#	cats/Alternative#guard().	cats/Alternative#guard().	Unary	true	1
cats/Alternative#	cats/Alternative#separate(+1).	cats/Alternative#separate(+1).	Unary	true	3
cats/Alternative#	cats/Alternative#separateFoldable().	cats/Alternative#separateFoldable().	Unary	true	3
cats/Alternative#	cats/Alternative#unite(+1).	cats/Alternative#unite(+1).	Unary	true	3
cats/Alternative#	cats/Applicative#composeContravariantMonoidal().	cats/Applicative#composeContravariantMonoidal().	Unary	true	1
cats/Alternative#	cats/Applicative#map().	cats/Functor#map().	Unary	true	2
cats/Alternative#	cats/Applicative#pure().	cats/Applicative#pure().	Unary	true	1
cats/Alternative#	cats/Applicative#replicateA().	cats/Applicative#replicateA().	Unary	true	2
cats/Alternative#	cats/Applicative#replicateA_().	cats/Applicative#replicateA_().	Unary	true	2
cats/Alternative#	cats/Applicative#unit().	cats/InvariantMonoidal#unit().	Unary	true	0
cats/Alternative#	cats/Applicative#unlessA().	cats/Applicative#unlessA().	Unary	true	2
cats/Alternative#	cats/Applicative#whenA().	cats/Applicative#whenA().	Unary	true	2
cats/Alternative#	cats/Apply#*>().	cats/Apply#*>().	Unary	true	2
cats/Alternative#	cats/Apply#<*().	cats/Apply#<*().	Unary	true	2
cats/Alternative#	cats/Apply#<*>().	cats/Apply#<*>().	Unary	true	2
cats/Alternative#	cats/Apply#ap().	cats/Apply#ap().	Unary	true	2
cats/Alternative#	cats/Apply#ap2().	cats/Apply#ap2().	Unary	true	3
cats/Alternative#	cats/Apply#compose().	cats/Apply#compose().	Unary	true	1
cats/Alternative#	cats/Apply#followedBy().	cats/Apply#followedBy().	Unary	true	2
cats/Alternative#	cats/Apply#forEffect().	cats/Apply#forEffect().	Unary	true	2
cats/Alternative#	cats/Apply#ifA().	cats/Apply#ifA().	Unary	true	3
cats/Alternative#	cats/Apply#map2().	cats/Apply#map2().	Unary	true	3
cats/Alternative#	cats/Apply#map2Eval().	cats/Apply#map2Eval().	Unary	true	3
cats/Alternative#	cats/Apply#product().	cats/Semigroupal#product().	Unary	true	2
cats/Alternative#	cats/Apply#productL().	cats/Apply#productL().	Unary	true	2
cats/Alternative#	cats/Apply#productR().	cats/Apply#productR().	Unary	true	2
cats/Alternative#	cats/Functor#as().	cats/Functor#as().	Unary	true	2
cats/Alternative#	cats/Functor#compose().	cats/Functor#compose().	Unary	true	1
cats/Alternative#	cats/Functor#composeBifunctor().	cats/Functor#composeBifunctor().	Unary	true	1
cats/Alternative#	cats/Functor#composeContravariant().	cats/Invariant#composeContravariant().	Unary	true	1
cats/Alternative#	cats/Functor#fmap().	cats/Functor#fmap().	Unary	true	2
cats/Alternative#	cats/Functor#fproduct().	cats/Functor#fproduct().	Unary	true	2
cats/Alternative#	cats/Functor#fproductLeft().	cats/Functor#fproductLeft().	Unary	true	2
cats/Alternative#	cats/Functor#ifF().	cats/Functor#ifF().	Unary	true	3
cats/Alternative#	cats/Functor#imap().	cats/Invariant#imap().	Unary	true	3
cats/Alternative#	cats/Functor#lift().	cats/Functor#lift().	Unary	true	1
cats/Alternative#	cats/Functor#mapOrKeep().	cats/Functor#mapOrKeep().	Unary	true	2
cats/Alternative#	cats/Functor#tupleLeft().	cats/Functor#tupleLeft().	Unary	true	2
cats/Alternative#	cats/Functor#tupleRight().	cats/Functor#tupleRight().	Unary	true	2
cats/Alternative#	cats/Functor#unzip().	cats/Functor#unzip().	Unary	true	1
cats/Alternative#	cats/Functor#void().	cats/Functor#void().	Unary	true	1
cats/Alternative#	cats/Functor#widen().	cats/Functor#widen().	Unary	true	1
cats/Alternative#	cats/Invariant#compose().	cats/Invariant#compose().	Unary	true	1
cats/Alternative#	cats/Invariant#composeFunctor().	cats/Invariant#composeFunctor().	Unary	true	1
cats/Alternative#	cats/InvariantMonoidal#point().	cats/InvariantMonoidal#point().	Unary	true	1
