#typeclass	reason	tracked
# generated by CatsIndexGen; do not edit by hand; source: org.typelevel::cats-core:2.13.0 for Scala 3.8.4; extraction: TASTy
cats/Bifoldable#	binary kind F[_, _] not solved in v1; needs type-lambda rendering	#33
cats/Bifunctor#	binary kind F[_, _] not solved in v1; needs type-lambda rendering	#33
cats/Bitraverse#	binary kind F[_, _] not solved in v1; needs type-lambda rendering	#33
cats/Show#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/Band#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/BoundedEnumerable#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/BoundedSemilattice#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/CommutativeGroup#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/CommutativeMonoid#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/CommutativeSemigroup#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/Eq#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/Group#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/Hash#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/LowerBounded#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/Monoid#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/Order#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/PartialOrder#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/Semigroup#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/Semilattice#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
cats/kernel/UpperBounded#	Star kind: typeclass over a plain type, not a type constructor; out of PreferHKT's F[_] scope	none
