#concreteMethod	kind	owner	method	note
# hand-written; audited by CatsIndexDriftSuite
cats/Eval#defer().	capability	cats/Defer#defer().	cats/Defer#defer().	Eval recursion is Defer
cats/Eval#flatMap().	capability	cats/FlatMap#flatMap().	cats/FlatMap#flatMap().	Eval sequencing is FlatMap
cats/Eval#map().	capability	cats/Functor#map().	cats/Functor#map().	Eval transformation is Functor
cats/Foldable.Ops#foldMap().	capability	cats/Foldable#foldMap().	cats/Foldable#foldMap().	Cats foldMap syntax on a covered concrete constructor
cats/Traverse.Ops#sequence().	capability	cats/Traverse#sequence().	cats/Traverse#sequence().	Cats sequence syntax on a covered concrete constructor
cats/Traverse.Ops#traverse().	capability	cats/Traverse#traverse().	cats/Traverse#traverse().	Cats traverse syntax on a covered concrete constructor
cats/data/NonEmptyList#flatMap().	capability	cats/FlatMap#flatMap().	cats/FlatMap#flatMap().	NonEmptyList sequencing is FlatMap
cats/data/NonEmptyList#map().	capability	cats/Functor#map().	cats/Functor#map().	NonEmptyList transformation is Functor
cats/syntax/SemigroupOps#combine().	capability	cats/kernel/Semigroup#combine().	cats/kernel/Semigroup#combine().	Cats Semigroup combine syntax on a covered concrete value
scala/Option#flatMap().	capability	cats/FlatMap#flatMap().	cats/FlatMap#flatMap().	Option flatMap
scala/Option#get().	decline		ConcreteConstructorMatch	Option extraction
scala/Option#getOrElse().	capability	cats/Foldable#foldLeft().	cats/Foldable#foldLeft().	Option elimination with an explicit default
scala/Option#isDefined().	decline		ConcreteConstructorMatch	Option constructor test
scala/Option#isEmpty().	decline		ConcreteConstructorMatch	Option constructor test
scala/Option#map().	capability	cats/Functor#map().	cats/Functor#map().	Option map
scala/Option#nonEmpty().	decline		ConcreteConstructorMatch	Option constructor test
scala/collection/IndexedSeqOps#foldRight().	capability	cats/Foldable#foldRight().	cats/Foldable#foldRight().	Vector foldRight
scala/collection/IndexedSeqOps#headOption().	decline		OrderOrIndexSpecific	Vector headOption
scala/collection/IndexedSeqOps#reverse().	decline		OrderOrIndexSpecific	Vector reverse
scala/collection/IterableOnceOps#foldLeft().	capability	cats/Foldable#foldLeft().	cats/Foldable#foldLeft().	Vector and Map foldLeft
scala/collection/IterableOnceOps#foldRight().	capability	cats/Foldable#foldRight().	cats/Foldable#foldRight().	Map foldRight
scala/collection/IterableOnceOps#reduce().	capability	cats/Reducible#reduceLeft().	cats/Reducible#reduceLeft().	Ambiguous reduction candidate requiring non-empty structure
