#syntaxMethod	owner	method	importPath
cats/Align.Ops#align().	cats/Align#align().	cats/Align#align().	cats.syntax.align.*
cats/Align.Ops#alignCombine().	cats/Align#alignCombine().	cats/Align#alignCombine().	cats.syntax.align.*
cats/Align.Ops#alignMergeWith().	cats/Align#alignMergeWith().	cats/Align#alignMergeWith().	cats.syntax.align.*
cats/Align.Ops#alignWith().	cats/Align#alignWith().	cats/Align#alignWith().	cats.syntax.align.*
cats/Align.Ops#padZip().	cats/Align#padZip().	cats/Align#padZip().	cats.syntax.align.*
cats/Align.Ops#padZipWith().	cats/Align#padZipWith().	cats/Align#padZipWith().	cats.syntax.align.*
cats/Align.Ops#zipAll().	cats/Align#zipAll().	cats/Align#zipAll().	cats.syntax.align.*
cats/Alternative.Ops#separate(+1).	cats/Alternative#separate(+1).	cats/Alternative#separate(+1).	cats.syntax.alternative.*
cats/Alternative.Ops#separateFoldable().	cats/Alternative#separateFoldable().	cats/Alternative#separateFoldable().	cats.syntax.alternative.*
cats/Alternative.Ops#unite(+1).	cats/Alternative#unite(+1).	cats/Alternative#unite(+1).	cats.syntax.alternative.*
cats/Apply.Ops#*>().	cats/Apply#*>().	cats/Apply#*>().	cats.syntax.apply.*
cats/Apply.Ops#<*().	cats/Apply#<*().	cats/Apply#<*().	cats.syntax.apply.*
cats/Apply.Ops#<*>().	cats/Apply#<*>().	cats/Apply#<*>().	cats.syntax.apply.*
cats/Apply.Ops#ap().	cats/Apply#ap().	cats/Apply#ap().	cats.syntax.apply.*
cats/Apply.Ops#ap2().	cats/Apply#ap2().	cats/Apply#ap2().	cats.syntax.apply.*
cats/Apply.Ops#map2().	cats/Apply#map2().	cats/Apply#map2().	cats.syntax.apply.*
cats/Apply.Ops#map2Eval().	cats/Apply#map2Eval().	cats/Apply#map2Eval().	cats.syntax.apply.*
cats/Apply.Ops#productL().	cats/Apply#productL().	cats/Apply#productL().	cats.syntax.apply.*
cats/Apply.Ops#productR().	cats/Apply#productR().	cats/Apply#productR().	cats.syntax.apply.*
cats/Bifoldable.Ops#bifold().	cats/Bifoldable#bifold().	cats/Bifoldable#bifold().	cats.syntax.bifoldable.*
cats/Bifoldable.Ops#bifoldLeft().	cats/Bifoldable#bifoldLeft().	cats/Bifoldable#bifoldLeft().	cats.syntax.bifoldable.*
cats/Bifoldable.Ops#bifoldMap().	cats/Bifoldable#bifoldMap().	cats/Bifoldable#bifoldMap().	cats.syntax.bifoldable.*
cats/Bifoldable.Ops#bifoldRight().	cats/Bifoldable#bifoldRight().	cats/Bifoldable#bifoldRight().	cats.syntax.bifoldable.*
cats/Bifunctor.Ops#bimap().	cats/Bifunctor#bimap().	cats/Bifunctor#bimap().	cats.syntax.bifunctor.*
cats/Bifunctor.Ops#leftLiftTo().	cats/Bifunctor#leftLiftTo().	cats/Bifunctor#leftLiftTo().	cats.syntax.bifunctor.*
cats/Bifunctor.Ops#leftMap().	cats/Bifunctor#leftMap().	cats/Bifunctor#leftMap().	cats.syntax.bifunctor.*
cats/Bifunctor.Ops#leftWiden().	cats/Bifunctor#leftWiden().	cats/Bifunctor#leftWiden().	cats.syntax.bifunctor.*
cats/Bitraverse.Ops#bisequence().	cats/Bitraverse#bisequence().	cats/Bitraverse#bisequence().	cats.syntax.bitraverse.*
cats/Bitraverse.Ops#bitraverse().	cats/Bitraverse#bitraverse().	cats/Bitraverse#bitraverse().	cats.syntax.bitraverse.*
cats/CoflatMap.Ops#coflatMap().	cats/CoflatMap#coflatMap().	cats/CoflatMap#coflatMap().	cats.syntax.coflatMap.*
cats/CoflatMap.Ops#coflatten().	cats/CoflatMap#coflatten().	cats/CoflatMap#coflatten().	cats.syntax.coflatMap.*
cats/Comonad.Ops#extract().	cats/Comonad#extract().	cats/Comonad#extract().	cats.syntax.comonad.*
cats/Contravariant.Ops#contramap().	cats/Contravariant#contramap().	cats/Contravariant#contramap().	cats.syntax.contravariant.*
cats/Contravariant.Ops#narrow().	cats/Contravariant#narrow().	cats/Contravariant#narrow().	cats.syntax.contravariant.*
cats/FlatMap.Ops#flatMap().	cats/FlatMap#flatMap().	cats/FlatMap#flatMap().	cats.syntax.flatMap.*
cats/FlatMap.Ops#flatTap().	cats/FlatMap#flatTap().	cats/FlatMap#flatTap().	cats.syntax.flatMap.*
cats/FlatMap.Ops#flatten().	cats/FlatMap#flatten().	cats/FlatMap#flatten().	cats.syntax.flatMap.*
cats/FlatMap.Ops#mproduct().	cats/FlatMap#mproduct().	cats/FlatMap#mproduct().	cats.syntax.flatMap.*
cats/FlatMap.Ops#productLEval().	cats/FlatMap#productLEval().	cats/FlatMap#productLEval().	cats.syntax.flatMap.*
cats/FlatMap.Ops#productREval().	cats/FlatMap#productREval().	cats/FlatMap#productREval().	cats.syntax.flatMap.*
cats/Foldable.Ops#collectFirst().	cats/Foldable#collectFirst().	cats/Foldable#collectFirst().	cats.syntax.foldable.*
cats/Foldable.Ops#collectFirstSome().	cats/Foldable#collectFirstSome().	cats/Foldable#collectFirstSome().	cats.syntax.foldable.*
cats/Foldable.Ops#collectFoldSome().	cats/Foldable#collectFoldSome().	cats/Foldable#collectFoldSome().	cats.syntax.foldable.*
cats/Foldable.Ops#combineAll().	cats/Foldable#combineAll().	cats/Foldable#combineAll().	cats.syntax.foldable.*
cats/Foldable.Ops#combineAllOption().	cats/Foldable#combineAllOption().	cats/Foldable#combineAllOption().	cats.syntax.foldable.*
cats/Foldable.Ops#dropWhile_().	cats/Foldable#dropWhile_().	cats/Foldable#dropWhile_().	cats.syntax.foldable.*
cats/Foldable.Ops#existsM().	cats/Foldable#existsM().	cats/Foldable#existsM().	cats.syntax.foldable.*
cats/Foldable.Ops#filter_().	cats/Foldable#filter_().	cats/Foldable#filter_().	cats.syntax.foldable.*
cats/Foldable.Ops#find().	cats/Foldable#find().	cats/Foldable#find().	cats.syntax.foldable.*
cats/Foldable.Ops#fold().	cats/Foldable#fold().	cats/Foldable#fold().	cats.syntax.foldable.*
cats/Foldable.Ops#foldK().	cats/Foldable#foldK().	cats/Foldable#foldK().	cats.syntax.foldable.*
cats/Foldable.Ops#foldLeft().	cats/Foldable#foldLeft().	cats/Foldable#foldLeft().	cats.syntax.foldable.*
cats/Foldable.Ops#foldLeftM().	cats/Foldable#foldLeftM().	cats/Foldable#foldLeftM().	cats.syntax.foldable.*
cats/Foldable.Ops#foldM().	cats/Foldable#foldM().	cats/Foldable#foldM().	cats.syntax.foldable.*
cats/Foldable.Ops#foldMap().	cats/Foldable#foldMap().	cats/Foldable#foldMap().	cats.syntax.foldable.*
cats/Foldable.Ops#foldMapA().	cats/Foldable#foldMapA().	cats/Foldable#foldMapA().	cats.syntax.foldable.*
cats/Foldable.Ops#foldMapM().	cats/Foldable#foldMapM().	cats/Foldable#foldMapM().	cats.syntax.foldable.*
cats/Foldable.Ops#foldRight().	cats/Foldable#foldRight().	cats/Foldable#foldRight().	cats.syntax.foldable.*
cats/Foldable.Ops#foldRightDefer().	cats/Foldable#foldRightDefer().	cats/Foldable#foldRightDefer().	cats.syntax.foldable.*
cats/Foldable.Ops#forallM().	cats/Foldable#forallM().	cats/Foldable#forallM().	cats.syntax.foldable.*
cats/Foldable.Ops#get().	cats/Foldable#get().	cats/Foldable#get().	cats.syntax.foldable.*
cats/Foldable.Ops#intercalate().	cats/Foldable#intercalate().	cats/Foldable#intercalate().	cats.syntax.foldable.*
cats/Foldable.Ops#maximumByList().	cats/Foldable#maximumByList().	cats/Foldable#maximumByList().	cats.syntax.foldable.*
cats/Foldable.Ops#maximumByOption().	cats/Foldable#maximumByOption().	cats/Foldable#maximumByOption().	cats.syntax.foldable.*
cats/Foldable.Ops#maximumList().	cats/Foldable#maximumList().	cats/Foldable#maximumList().	cats.syntax.foldable.*
cats/Foldable.Ops#maximumOption().	cats/Foldable#maximumOption().	cats/Foldable#maximumOption().	cats.syntax.foldable.*
cats/Foldable.Ops#minimumByList().	cats/Foldable#minimumByList().	cats/Foldable#minimumByList().	cats.syntax.foldable.*
cats/Foldable.Ops#minimumByOption().	cats/Foldable#minimumByOption().	cats/Foldable#minimumByOption().	cats.syntax.foldable.*
cats/Foldable.Ops#minimumList().	cats/Foldable#minimumList().	cats/Foldable#minimumList().	cats.syntax.foldable.*
cats/Foldable.Ops#minimumOption().	cats/Foldable#minimumOption().	cats/Foldable#minimumOption().	cats.syntax.foldable.*
cats/Foldable.Ops#partitionEither().	cats/Foldable#partitionEither().	cats/Foldable#partitionEither().	cats.syntax.foldable.*
cats/Foldable.Ops#productAll().	cats/Foldable#productAll().	cats/Foldable#productAll().	cats.syntax.foldable.*
cats/Foldable.Ops#reduceLeftOption().	cats/Foldable#reduceLeftOption().	cats/Foldable#reduceLeftOption().	cats.syntax.foldable.*
cats/Foldable.Ops#reduceLeftToOption().	cats/Foldable#reduceLeftToOption().	cats/Foldable#reduceLeftToOption().	cats.syntax.foldable.*
cats/Foldable.Ops#reduceRightOption().	cats/Foldable#reduceRightOption().	cats/Foldable#reduceRightOption().	cats.syntax.foldable.*
cats/Foldable.Ops#reduceRightToOption().	cats/Foldable#reduceRightToOption().	cats/Foldable#reduceRightToOption().	cats.syntax.foldable.*
cats/Foldable.Ops#sequenceVoid().	cats/Foldable#sequenceVoid().	cats/Foldable#sequenceVoid().	cats.syntax.foldable.*
